City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
613,Merauke,ID,82.63,overcast clouds,-8.4667,140.3333,
616,Salinopolis,BR,78.3,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
617,Iquitos,PE,75.24,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
620,Mogok,MM,75.7,scattered clouds,22.9167,96.5,MOGOK HILL HOTEL
622,Adra,ES,80.38,clear sky,36.7496,-3.0206,Hostal Zapata
623,Catuday,PH,83.1,broken clouds,16.2923,119.8062,Benjie's Kubo & Cottages
625,Glendive,US,80.22,clear sky,47.1053,-104.7125,Super 8 by Wyndham Glendive
626,Tezu,IN,88.38,broken clouds,27.9167,96.1667,Circuit House
633,Liuzhou,CN,85.71,overcast clouds,24.3126,109.3892,Linjiang Inn
640,Balikpapan,ID,83.39,few clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
652,Nieuw Amsterdam,SR,77.16,few clouds,5.8833,-55.0833,Hotel Stardust
653,Ugoofaaru,MV,82.0,broken clouds,5.6667,73.0,Ungoofaaru Inn
654,Pingliang,CN,83.68,scattered clouds,35.5392,106.6861,North Gate Hostel
657,Isangel,VU,77.11,broken clouds,-19.55,169.2667,Tanna Lodge
658,Ouallam,NE,84.25,clear sky,14.3188,2.0866,
663,Bubaque,GW,80.8,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
670,Basti,IN,86.41,broken clouds,26.8,82.7167,SPOT ON 43231 Hotel Aura Inn SPOT
671,Hambantota,LK,84.54,few clouds,6.1241,81.1185,Bungalow 63
672,Ardesen,TR,77.31,broken clouds,41.1911,40.9875,Green Suada Hotel
674,Chesapeake,US,77.99,clear sky,36.819,-76.2749,Renaissance Portsmouth-Norfolk Waterfront Hotel
675,Jevargi,IN,76.32,overcast clouds,17.0167,76.7667,Khamadhenu Hotel
678,Kuah,MY,87.78,few clouds,6.3265,99.8432,Azio Hotel
680,Tazmalt,DZ,76.51,clear sky,36.3868,4.3989,Hôtel Numédia
